,Team,Date,X_Val,Actual_Sum,Model_Sum,Diff
59,Preds,2020-04-01 15:00:00,1.5800000000000005,8.0,20.475679007493913,-12.475679007493913
60,Preds,2020-04-03 10:00:00,1.5900000000000005,20.0,20.449199151142572,-0.44919915114257236
61,Preds,2020-04-04 12:00:00,1.6000000000000005,9.0,22.493586450760994,-13.493586450760994
62,Preds,2020-04-10 15:00:00,1.6100000000000005,16.0,21.378808634919107,-5.378808634919107
63,Preds,2020-04-12 15:00:00,1.6200000000000006,12.0,17.42072659693627,-5.4207265969362695
64,Preds,2020-04-26 15:00:00,1.6300000000000006,12.0,17.42072659693627,-5.4207265969362695
65,Preds,2020-04-27 15:00:00,1.6400000000000006,14.0,19.11523617312105,-5.115236173121051
66,Preds,2020-04-29 15:00:00,1.6500000000000006,8.0,20.475679007493913,-12.475679007493913
67,Preds,2020-05-01 15:00:00,1.6600000000000006,27.0,22.03539789861942,4.9646021013805814
68,Preds,2020-05-07 15:00:00,1.6700000000000006,24.0,20.560783615092703,3.439216384907297
69,Preds,2020-05-08 15:00:00,1.6800000000000006,27.0,22.03539789861942,4.9646021013805814
70,Preds,2021-01-01 09:00:00,1.6900000000000006,10.0,18.124310606316133,-8.124310606316133
71,Preds,2021-01-11 15:00:00,1.7000000000000006,11.0,18.691418488712195,-7.691418488712195
72,Preds,2021-01-13 15:00:00,1.7100000000000006,11.0,20.051861323085056,-9.051861323085056
73,Preds,2021-01-18 15:00:00,1.7200000000000006,11.0,18.691418488712195,-7.691418488712195
74,Preds,2021-01-20 15:00:00,1.7300000000000006,11.0,20.051861323085056,-9.051861323085056
75,Preds,2021-01-22 15:00:00,1.7400000000000007,16.0,20.954990950510254,-4.954990950510254
76,Preds,2021-02-01 15:00:00,1.7500000000000007,10.0,18.5502238051262,-8.550223805126201
77,Preds,2021-02-24 15:00:00,1.7600000000000007,5.0,19.910666639499063,-14.910666639499063
78,Preds,2021-02-26 14:00:00,1.7700000000000007,15.0,24.10859708725312,-9.10859708725312
79,Preds,2021-03-08 15:00:00,1.7800000000000007,15.0,19.856033736468905,-4.8560337364689055
80,Preds,2021-03-10 15:00:00,1.7900000000000007,22.0,21.216476570841767,0.7835234291582331
81,Preds,2021-03-12 19:30:00,1.8000000000000007,7.0,10.399467141842125,-3.399467141842125
82,Preds,2021-03-15 15:00:00,1.8100000000000007,15.0,19.856033736468905,-4.8560337364689055
83,Preds,2021-03-19 14:00:00,1.8200000000000007,37.0,25.414407018595824,11.585592981404176
84,Preds,2021-03-27 13:00:00,1.8300000000000007,20.0,25.53977179470459,-5.539771794704588
85,Preds,2021-03-29 15:00:00,1.8400000000000007,15.0,19.856033736468905,-4.8560337364689055
86,Preds,2021-04-02 15:00:00,1.8500000000000008,19.0,22.271468701730555,-3.271468701730555
87,Preds,2021-04-05 15:00:00,1.8600000000000008,7.0,20.0078962399325,-13.0078962399325
88,Preds,2021-04-09 13:00:00,1.8700000000000008,31.0,27.301280550142835,3.6987194498571654
89,Preds,2021-04-12 15:00:00,1.8800000000000008,7.0,20.0078962399325,-13.0078962399325
90,Preds,2021-04-14 15:00:00,1.8900000000000008,17.0,21.368339074305357,-4.368339074305357
91,Preds,2021-04-16 13:00:00,1.9000000000000008,31.0,27.301280550142835,3.6987194498571654
